Date,Festival/Event,Season,Special Day Type,Location,Customer Segment,Top Purchased Items,Total Sale Value (₹),Estimated Profit (₹),Demand Level (1-10),Discount Sensitivity (1-10)
2024-02-12,Eid,Monsoon,Wedding Season,Delhi,Retail Bulk,"Vegetables, Rice, Dates, Oil",754.58,41.03,6,7
2024-03-28,Onam,Winter,Salary Day,Patna,Upper Middle,"Vegetables, Sugar, Bread",912.2,212.29,10,2
2023-04-02,Navratri,Summer,Exam Season,Bangalore,Upper Middle,"Bread, Fruits, Oil",1445.03,165.85,8,5
2024-02-06,Christmas,Monsoon,Salary Day,Bangalore,Retail Bulk,"Cake, Bread, Rice, Vegetables, Chocolates",1037.27,102.18,5,3
2023-02-09,Republic Day,Monsoon,Exam Season,Bangalore,Families,"Fruits, Bread, Eggs",1735.51,406.19,8,2
2024-10-31,Eid,Monsoon,Normal Day,Patna,Low Income,"Bread, Dates, Milk, Eggs",1841.57,459.15,10,5
2024-10-23,Republic Day,Winter,Weekend,Kolkata,Middle Class,"Vegetables, Bread, Fruits",1122.26,252.17,4,3
2024-05-18,Diwali,Summer,Wedding Season,Bangalore,Families,"Vegetables, Sugar, Bread",1855.11,358.01,9,7
2024-10-19,Makar Sankranti,Monsoon,Salary Day,Chennai,Retail Bulk,"Vegetables, Rice, Atta",1367.45,227.08,6,6
2024-01-07,Onam,Monsoon,Normal Day,Mumbai,Students,"Vegetables, Bread, Rice",197.71,14.64,9,5
2023-10-13,Navratri,Winter,Exam Season,Jaipur,Retail Bulk,"Vegetables, Bread, Eggs",1146.69,147.72,9,3
2023-11-24,Diwali,Winter,Normal Day,Mumbai,Upper Middle,"Sugar, Fruits, Oil",1870.92,157.59,9,3
2023-04-17,None,Summer,Salary Day,Jaipur,Students,"Rice, Milk, Oil",663.88,65.95,6,7
2023-01-19,Eid,Monsoon,Wedding Season,Chennai,Low Income,"Vegetables, Milk, Eggs, Dates",1496.09,327.49,4,4
2024-08-28,Independence Day,Monsoon,Salary Day,Kolkata,Middle Class,"Fruits, Oil, Hand bands, Flags, Eggs",471.77,69.84,9,8
2023-05-26,Diwali,Monsoon,School Opening,Bangalore,Families,"Vegetables, Fruits, Eggs",1704.51,87.18,6,8
2024-07-27,Diwali,Monsoon,Normal Day,Jaipur,Students,"Sugar, Bread, Rice",766.08,107.16,6,9
2024-01-21,Holi,Monsoon,Weekend,Lucknow,Students,"Vegetables, Rice, Eggs, Colors",297.28,68.44,4,9
2024-08-19,Eid,Winter,Wedding Season,Jaipur,Low Income,"Sugar, Bread, Dates, Atta",557.26,72.34,9,6
2024-09-27,Diwali,Summer,Normal Day,Kolkata,Low Income,"Oil, Rice, Atta",1573.98,217.16,7,9
2023-07-16,Holi,Monsoon,School Opening,Patna,Families,"Vegetables, Sugar, Colors, Oil",712.82,56.06,10,9
2023-11-13,Republic Day,Summer,Weekend,Mumbai,Families,"Vegetables, Rice, Fruits",1239.53,159.5,5,6
2024-11-11,Independence Day,Summer,School Opening,Bangalore,Low Income,"Oil, Hand bands, Flags, Rice, Eggs",1090.03,120.58,10,2
2024-11-30,Diwali,Monsoon,Normal Day,Delhi,Retail Bulk,"Eggs, Fruits, Atta",1323.69,211.24,5,2
2023-11-27,Eid,Monsoon,Normal Day,Mumbai,Low Income,"Bread, Dates, Fruits, Atta",996.1,79.11,4,4
2024-05-23,None,Summer,Normal Day,Patna,Middle Class,"Sugar, Bread, Atta",998.25,167.13,6,5
2024-01-01,Onam,Monsoon,Salary Day,Lucknow,Retail Bulk,"Vegetables, Rice, Atta",657.54,117.62,6,6
2023-05-03,Raksha Bandhan,Summer,School Opening,Kolkata,Retail Bulk,"Sweets, Milk, Oil, Rakhi, Bread",1445.29,347.85,5,5
2023-05-16,None,Monsoon,Weekend,Jaipur,Retail Bulk,"Vegetables, Bread, Oil",1498.04,275.41,7,2
2024-01-15,Christmas,Monsoon,Salary Day,Jaipur,Middle Class,"Sugar, Cake, Rice, Vegetables, Chocolates",340.81,32.7,5,3
2023-11-03,None,Monsoon,Weekend,Chennai,Families,"Fruits, Bread, Eggs",466.72,81.11,4,7
2024-12-24,Christmas,Monsoon,Weekend,Chennai,Retail Bulk,"Cake, Milk, Rice, Vegetables, Chocolates",997.09,246.31,6,4
2023-04-24,Independence Day,Winter,Salary Day,Bangalore,Families,"Fruits, Milk, Oil, Hand bands, Flags",961.28,54.47,5,5
2024-11-19,Diwali,Monsoon,Weekend,Delhi,Families,"Atta, Fruits, Oil",1444.15,281.81,4,8
2024-01-29,Republic Day,Winter,Exam Season,Bangalore,Low Income,"Sugar, Bread, Oil",622.1,151.87,8,9
2024-01-08,Navratri,Summer,School Opening,Chennai,Middle Class,"Vegetables, Bread, Atta",295.74,19.46,10,4
2023-06-23,Republic Day,Monsoon,Salary Day,Patna,Families,"Sugar, Bread, Atta",1202.93,279.14,6,5
2024-04-03,None,Summer,School Opening,Mumbai,Families,"Vegetables, Atta, Oil",1226.88,306.1,5,5
2023-10-26,Holi,Winter,Wedding Season,Chennai,Families,"Colors, Rice, Milk, Oil",51.29,8.97,10,3
2024-11-02,Diwali,Monsoon,Wedding Season,Lucknow,Upper Middle,"Sugar, Fruits, Eggs",1656.18,100.95,4,3
2024-12-05,Navratri,Winter,Weekend,Chennai,Families,"Bread, Eggs, Oil",1365.3,75.99,6,9
2024-05-31,Christmas,Monsoon,School Opening,Mumbai,Families,"Sugar, Cake, Eggs, Rice, Chocolates",1801.63,106.46,9,3
2023-01-20,Onam,Monsoon,Weekend,Patna,Retail Bulk,"Rice, Fruits, Oil",927.09,109.74,6,3
2024-04-20,Independence Day,Winter,Weekend,Chennai,Low Income,"Sugar, Atta, Hand bands, Flags, Vegetables",382.83,89.73,10,3
2023-02-10,Diwali,Monsoon,Wedding Season,Bangalore,Students,"Bread, Rice, Eggs",514.25,35.16,4,3
2023-06-13,Navratri,Monsoon,Exam Season,Chennai,Students,"Sugar, Bread, Milk",628.32,149.49,9,3
2023-10-14,Eid,Winter,Weekend,Patna,Retail Bulk,"Milk, Rice, Eggs, Dates",1468.2,316.17,8,9
2023-01-22,Makar Sankranti,Monsoon,School Opening,Mumbai,Upper Middle,"Vegetables, Sugar, Bread",1204.35,286.24,6,4
2023-09-11,Independence Day,Monsoon,Exam Season,Jaipur,Middle Class,"Sugar, Bread, Hand bands, Flags, Rice",148.04,7.62,7,9
2024-10-04,Christmas,Summer,Salary Day,Lucknow,Middle Class,"Cake, Fruits, Oil, Vegetables, Chocolates",143.36,18.18,6,3
2023-01-15,Holi,Monsoon,Normal Day,Bangalore,Middle Class,"Bread, Rice, Milk, Colors",528.28,71.56,7,5
2023-05-28,Diwali,Summer,Wedding Season,Kolkata,Students,"Bread, Rice, Milk",1121.09,65.08,7,6
2023-10-31,Republic Day,Monsoon,Normal Day,Chennai,Students,"Bread, Rice, Fruits",1919.52,346.99,5,2
2023-04-24,Navratri,Summer,School Opening,Kolkata,Families,"Vegetables, Rice, Oil",917.93,141.16,9,4
2023-01-30,Diwali,Winter,School Opening,Bangalore,Low Income,"Bread, Rice, Milk",627.8,123.61,10,7
2023-04-16,Diwali,Summer,Wedding Season,Kolkata,Families,"Bread, Eggs, Oil",590.29,135.69,9,4
2023-11-01,Holi,Winter,Wedding Season,Delhi,Upper Middle,"Colors, Rice, Eggs, Oil",587.76,68.36,8,3
2024-12-29,Onam,Monsoon,Weekend,Delhi,Families,"Bread, Fruits, Oil",1649.43,248.58,8,6
2023-10-31,Navratri,Summer,Normal Day,Bangalore,Families,"Rice, Eggs, Atta",1144.18,211.08,7,9
2024-11-30,Holi,Summer,School Opening,Chennai,Upper Middle,"Bread, Colors, Rice, Oil",1704.67,276.18,7,7
2023-02-10,Makar Sankranti,Winter,Normal Day,Mumbai,Retail Bulk,"Vegetables, Bread, Oil",822.41,191.3,5,7
2023-07-20,Eid,Summer,Exam Season,Kolkata,Retail Bulk,"Vegetables, Bread, Fruits, Dates",1130.35,211.65,6,6
2024-03-30,Diwali,Monsoon,Normal Day,Jaipur,Families,"Oil, Rice, Atta",667.31,61.48,10,7
2024-01-26,Independence Day,Monsoon,Exam Season,Patna,Families,"Fruits, Oil, Bread, Hand bands, Flags",1889.66,121.74,7,9
2023-06-22,Holi,Winter,School Opening,Lucknow,Students,"Vegetables, Bread, Rice, Colors",536.06,119.94,8,5
2024-10-15,Christmas,Monsoon,Wedding Season,Patna,Families,"Cake, Milk, Atta, Bread, Chocolates",768.13,90.27,7,2
2024-07-11,None,Winter,Exam Season,Jaipur,Students,"Vegetables, Rice, Eggs",1133.5,214.07,10,7
2024-11-01,Makar Sankranti,Monsoon,Normal Day,Bangalore,Upper Middle,"Vegetables, Fruits, Atta",480.67,92.68,10,3
2024-08-30,Onam,Summer,Salary Day,Mumbai,Retail Bulk,"Vegetables, Bread, Rice",849.25,164.29,6,9
2024-12-27,Independence Day,Monsoon,Wedding Season,Chennai,Middle Class,"Sugar, Oil, Hand bands, Flags, Rice",1311.17,296.95,5,9
2024-09-16,Raksha Bandhan,Monsoon,Wedding Season,Bangalore,Low Income,"Sweets, Oil, Rakhi, Bread, Vegetables",1797.4,239.33,9,3
2024-09-03,Makar Sankranti,Summer,School Opening,Lucknow,Low Income,"Vegetables, Bread, Oil",1134.89,90.02,6,6
2023-03-04,Christmas,Monsoon,Salary Day,Mumbai,Students,"Sugar, Cake, Oil, Bread, Chocolates",1714.04,355.52,7,7
2023-05-03,None,Monsoon,Salary Day,Mumbai,Upper Middle,"Sugar, Fruits, Eggs",908.48,84.77,8,6
2023-01-19,Republic Day,Winter,Normal Day,Delhi,Upper Middle,"Vegetables, Milk, Eggs",932.04,120.63,8,7
2023-04-26,Holi,Winter,School Opening,Patna,Middle Class,"Vegetables, Bread, Milk, Colors",95.27,21.03,9,4
2023-10-22,Diwali,Summer,Wedding Season,Delhi,Families,"Vegetables, Bread, Fruits",1885.12,229.79,6,2
2024-09-11,Makar Sankranti,Summer,Salary Day,Kolkata,Families,"Sugar, Bread, Rice",438.37,80.54,9,7
2024-03-06,Onam,Winter,Salary Day,Jaipur,Upper Middle,"Oil, Bread, Atta",241.01,19.67,4,3
2024-10-02,Christmas,Winter,Salary Day,Bangalore,Retail Bulk,"Cake, Fruits, Milk, Atta, Chocolates",1145.17,220.07,4,3
2024-12-22,Onam,Summer,Normal Day,Delhi,Families,"Oil, Eggs, Atta",884.52,116.38,9,9
2023-11-15,None,Summer,Weekend,Lucknow,Upper Middle,"Vegetables, Sugar, Oil",1475.34,117.35,7,7
2023-06-06,None,Winter,School Opening,Chennai,Upper Middle,"Vegetables, Sugar, Rice",930.76,128.94,9,4
2023-10-08,Independence Day,Summer,Salary Day,Delhi,Upper Middle,"Oil, Hand bands, Flags, Vegetables, Eggs",1823.96,174.78,7,5
2024-01-31,Makar Sankranti,Summer,Weekend,Delhi,Retail Bulk,"Fruits, Eggs, Atta",1609.4,122.51,4,8
2023-01-17,Holi,Summer,Wedding Season,Mumbai,Families,"Oil, Colors, Eggs, Atta",1528.05,209.37,9,7
2024-03-15,Holi,Monsoon,Wedding Season,Lucknow,Middle Class,"Sugar, Colors, Fruits, Eggs",1150.47,200.82,6,6
2024-09-25,Republic Day,Summer,Wedding Season,Delhi,Families,"Sugar, Bread, Fruits",1512.58,340.39,8,7
2024-12-16,Diwali,Monsoon,Normal Day,Kolkata,Upper Middle,"Bread, Fruits, Oil",993.45,97.15,5,2
2024-02-29,Holi,Summer,Normal Day,Chennai,Low Income,"Sugar, Colors, Fruits, Atta",862.21,168.11,9,5
2023-09-05,Republic Day,Winter,School Opening,Delhi,Upper Middle,"Vegetables, Rice, Eggs",1870.4,390.95,5,3
2023-04-14,None,Monsoon,Weekend,Delhi,Retail Bulk,"Milk, Bread, Eggs",429.91,104.78,6,7
2024-10-09,Independence Day,Winter,Exam Season,Bangalore,Retail Bulk,"Oil, Hand bands, Flags, Vegetables, Eggs",69.87,6.77,8,9
2023-01-27,None,Summer,Normal Day,Chennai,Middle Class,"Bread, Fruits, Eggs",900.84,208.96,7,8
2024-02-02,Eid,Winter,Wedding Season,Jaipur,Students,"Vegetables, Rice, Fruits, Dates",935.65,180.26,7,3
2024-07-07,None,Summer,Weekend,Delhi,Low Income,"Vegetables, Sugar, Milk",113.51,18.14,4,4
2024-12-08,Navratri,Winter,Normal Day,Bangalore,Retail Bulk,"Bread, Milk, Oil",222.78,31.7,7,5
2023-06-30,Independence Day,Monsoon,Normal Day,Delhi,Low Income,"Fruits, Hand bands, Flags, Vegetables, Eggs",1616.25,354.65,7,6
2024-02-06,Makar Sankranti,Summer,Wedding Season,Delhi,Families,"Vegetables, Eggs, Atta",1688.65,204.06,5,5
2023-06-25,Eid,Monsoon,Salary Day,Patna,Retail Bulk,"Vegetables, Rice, Milk, Dates",1771.85,316.91,6,9
2024-02-19,Makar Sankranti,Summer,Normal Day,Mumbai,Retail Bulk,"Sugar, Fruits, Atta",482.06,89.7,10,6
2024-02-17,Diwali,Monsoon,Salary Day,Patna,Retail Bulk,"Rice, Milk, Oil",1976.89,161.56,8,2
2023-10-29,Navratri,Monsoon,Exam Season,Jaipur,Middle Class,"Sugar, Bread, Eggs",1112.58,94.51,7,8
2024-08-27,None,Monsoon,Normal Day,Bangalore,Upper Middle,"Atta, Eggs, Oil",396.97,54.12,10,9
2023-12-22,Independence Day,Monsoon,Salary Day,Lucknow,Low Income,"Sugar, Fruits, Atta, Hand bands, Flags",1557.78,134.42,8,6
2024-01-18,Republic Day,Winter,Exam Season,Mumbai,Middle Class,"Vegetables, Milk, Oil",391.13,96.78,4,3
2024-10-24,Diwali,Winter,School Opening,Chennai,Families,"Vegetables, Bread, Milk",1530.98,100.22,6,5
2023-11-28,Makar Sankranti,Winter,Normal Day,Chennai,Upper Middle,"Sugar, Rice, Atta",1461.72,299.04,7,3
2023-06-03,Navratri,Monsoon,School Opening,Chennai,Retail Bulk,"Rice, Milk, Oil",1765.03,146.19,10,5
2023-02-08,Republic Day,Summer,School Opening,Lucknow,Students,"Vegetables, Milk, Oil",197.0,27.31,8,5
2023-09-27,Navratri,Winter,Salary Day,Jaipur,Low Income,"Rice, Fruits, Oil",235.91,32.84,5,9
2024-07-06,Christmas,Summer,School Opening,Jaipur,Retail Bulk,"Sugar, Cake, Eggs, Bread, Chocolates",261.51,38.62,9,2
2024-10-25,Eid,Winter,Salary Day,Bangalore,Families,"Sugar, Dates, Fruits, Oil",822.69,69.86,4,4
2024-08-11,Navratri,Monsoon,Wedding Season,Mumbai,Low Income,"Bread, Fruits, Atta",1818.34,433.93,10,6
2024-08-19,None,Winter,School Opening,Chennai,Low Income,"Sugar, Eggs, Atta",282.78,44.77,4,9
2023-03-05,Navratri,Winter,Exam Season,Kolkata,Upper Middle,"Bread, Rice, Eggs",973.13,85.5,6,3
2024-11-16,Holi,Monsoon,Salary Day,Chennai,Low Income,"Sugar, Colors, Milk, Atta",667.32,60.9,8,2
2024-10-03,Independence Day,Summer,School Opening,Delhi,Retail Bulk,"Sugar, Milk, Atta, Hand bands, Flags",265.64,60.71,10,9
2023-09-27,Republic Day,Winter,Wedding Season,Chennai,Low Income,"Rice, Eggs, Atta",494.24,105.8,6,2
2023-02-27,Navratri,Summer,Normal Day,Lucknow,Upper Middle,"Bread, Rice, Milk",780.85,86.86,10,8
2023-12-15,Makar Sankranti,Winter,Wedding Season,Kolkata,Families,"Bread, Milk, Oil",641.32,68.58,8,6
2024-04-10,None,Summer,Exam Season,Kolkata,Families,"Sugar, Bread, Rice",1419.77,336.5,10,8
2023-10-31,Independence Day,Winter,Salary Day,Kolkata,Families,"Milk, Bread, Hand bands, Flags, Vegetables",1736.96,217.32,6,3
2023-09-22,Eid,Summer,Wedding Season,Jaipur,Low Income,"Bread, Dates, Milk, Eggs",1668.51,148.18,4,2
2024-04-30,Onam,Monsoon,School Opening,Delhi,Low Income,"Vegetables, Sugar, Oil",1941.95,156.82,9,4
2023-05-22,Onam,Summer,Salary Day,Lucknow,Middle Class,"Vegetables, Sugar, Oil",986.73,113.78,9,9
2024-10-16,Christmas,Summer,Wedding Season,Jaipur,Upper Middle,"Cake, Milk, Oil, Bread, Chocolates",93.43,15.82,10,5
2024-02-10,Diwali,Monsoon,School Opening,Chennai,Middle Class,"Rice, Eggs, Oil",1961.78,142.48,4,3
2024-03-19,Raksha Bandhan,Winter,Salary Day,Bangalore,Low Income,"Sweets, Oil, Rakhi, Bread, Rice",1732.1,369.51,7,7
2024-03-12,Raksha Bandhan,Winter,Salary Day,Delhi,Middle Class,"Sweets, Atta, Oil, Rakhi, Eggs",295.12,16.66,10,6
2024-07-30,Republic Day,Summer,Weekend,Chennai,Families,"Vegetables, Rice, Fruits",161.51,10.33,5,3
2023-01-26,None,Summer,School Opening,Kolkata,Families,"Sugar, Rice, Eggs",974.78,128.23,6,3
2024-06-29,Raksha Bandhan,Monsoon,Normal Day,Mumbai,Middle Class,"Sweets, Atta, Rakhi, Vegetables, Eggs",220.94,13.18,5,5
2023-07-17,Christmas,Winter,School Opening,Patna,Low Income,"Cake, Milk, Eggs, Atta, Chocolates",154.7,25.58,7,8
2023-05-12,Raksha Bandhan,Winter,Salary Day,Jaipur,Retail Bulk,"Sweets, Oil, Rakhi, Bread, Rice",1108.51,62.37,10,7
2024-06-07,Independence Day,Monsoon,Salary Day,Lucknow,Retail Bulk,"Atta, Hand bands, Flags, Rice, Vegetables",1749.33,286.67,10,2
2023-08-04,Diwali,Summer,School Opening,Lucknow,Retail Bulk,"Rice, Fruits, Atta",895.35,193.45,10,4
2024-05-12,Makar Sankranti,Summer,Exam Season,Bangalore,Retail Bulk,"Vegetables, Sugar, Rice",1856.85,303.69,5,7
2024-08-10,Raksha Bandhan,Monsoon,Wedding Season,Lucknow,Students,"Sweets, Sugar, Fruits, Rakhi, Rice",1177.67,182.45,7,2
2024-02-12,Onam,Summer,Wedding Season,Kolkata,Low Income,"Sugar, Milk, Eggs",146.14,24.29,7,5
2024-06-10,Onam,Winter,Weekend,Chennai,Families,"Vegetables, Sugar, Bread",1965.89,407.15,9,7
2024-01-23,Diwali,Summer,Salary Day,Jaipur,Middle Class,"Milk, Sugar, Eggs",129.7,28.06,9,2
2023-06-25,Republic Day,Winter,Exam Season,Bangalore,Middle Class,"Milk, Rice, Fruits",1975.1,316.05,8,7
2024-10-10,Diwali,Summer,Exam Season,Mumbai,Middle Class,"Sugar, Rice, Oil",1049.71,110.53,7,9
2024-05-18,None,Summer,School Opening,Bangalore,Middle Class,"Sugar, Milk, Atta",1469.23,238.68,10,5
2024-06-13,Raksha Bandhan,Monsoon,Exam Season,Mumbai,Retail Bulk,"Sweets, Atta, Rakhi, Bread, Rice",1117.39,92.62,10,5
2023-08-03,Diwali,Winter,Salary Day,Chennai,Students,"Vegetables, Rice, Oil",116.54,10.69,10,8
2023-08-20,Makar Sankranti,Monsoon,Salary Day,Mumbai,Retail Bulk,"Atta, Eggs, Oil",1061.88,69.96,9,2
2024-05-15,Raksha Bandhan,Monsoon,School Opening,Chennai,Retail Bulk,"Sweets, Atta, Rakhi, Vegetables, Eggs",1989.58,265.83,9,2
2024-02-04,Navratri,Summer,Exam Season,Mumbai,Upper Middle,"Milk, Sugar, Eggs",1428.94,181.56,8,5
2023-11-19,Diwali,Winter,Wedding Season,Lucknow,Upper Middle,"Bread, Rice, Milk",415.66,79.45,6,8
2023-08-08,Christmas,Winter,School Opening,Patna,Retail Bulk,"Cake, Milk, Bread, Rice, Chocolates",636.98,92.88,4,4
2024-06-22,Makar Sankranti,Winter,Weekend,Chennai,Middle Class,"Fruits, Milk, Eggs",355.63,86.38,9,7
2024-06-13,Diwali,Monsoon,Weekend,Delhi,Middle Class,"Milk, Rice, Eggs",1035.3,62.93,5,2
2024-10-18,Diwali,Monsoon,Wedding Season,Lucknow,Retail Bulk,"Oil, Fruits, Atta",212.45,17.11,9,7
2023-01-04,Makar Sankranti,Winter,Normal Day,Jaipur,Families,"Sugar, Rice, Milk",1834.67,350.39,6,3
2024-10-31,Navratri,Monsoon,School Opening,Patna,Families,"Oil, Milk, Atta",730.17,174.29,7,4
2023-12-11,Eid,Monsoon,School Opening,Bangalore,Students,"Vegetables, Rice, Dates, Atta",1094.28,128.77,5,4
2023-03-10,Raksha Bandhan,Summer,School Opening,Delhi,Low Income,"Sweets, Sugar, Fruits, Rakhi, Rice",1721.47,354.12,5,4
2024-07-16,Navratri,Winter,Salary Day,Kolkata,Upper Middle,"Bread, Milk, Atta",1045.42,209.44,4,3
2023-07-07,Holi,Monsoon,Salary Day,Jaipur,Families,"Colors, Rice, Fruits, Eggs",533.04,89.77,4,2
2023-10-17,Independence Day,Monsoon,Exam Season,Jaipur,Retail Bulk,"Milk, Atta, Oil, Hand bands, Flags",573.0,116.98,8,9
2023-06-11,Republic Day,Monsoon,School Opening,Mumbai,Students,"Vegetables, Fruits, Oil",1934.87,446.59,5,2
2023-03-30,Eid,Winter,Salary Day,Bangalore,Upper Middle,"Sugar, Dates, Milk, Eggs",1518.45,310.72,4,2
2023-05-29,Holi,Winter,Exam Season,Chennai,Middle Class,"Sugar, Colors, Milk, Eggs",337.49,61.13,8,6
2023-06-13,Eid,Monsoon,Wedding Season,Bangalore,Students,"Vegetables, Dates, Milk, Oil",1753.88,399.88,6,6
2024-11-24,Onam,Summer,School Opening,Chennai,Upper Middle,"Vegetables, Rice, Eggs",1332.14,203.99,6,9
2024-05-20,Onam,Winter,School Opening,Jaipur,Upper Middle,"Vegetables, Rice, Milk",943.05,101.81,4,6
2023-08-29,Makar Sankranti,Winter,School Opening,Kolkata,Middle Class,"Sugar, Atta, Oil",980.5,191.44,6,4
2024-03-15,Navratri,Summer,Weekend,Mumbai,Families,"Sugar, Fruits, Atta",995.64,131.82,9,4
2024-04-27,Republic Day,Monsoon,School Opening,Mumbai,Middle Class,"Vegetables, Eggs, Atta",1125.43,258.97,10,8
2023-12-21,Republic Day,Winter,Normal Day,Lucknow,Upper Middle,"Sugar, Rice, Oil",810.46,181.31,10,7
2023-12-28,None,Winter,Exam Season,Patna,Middle Class,"Sugar, Milk, Oil",1939.44,461.98,4,3
2023-03-02,Diwali,Monsoon,Wedding Season,Patna,Students,"Bread, Rice, Eggs",328.07,77.74,9,6
2023-09-06,Onam,Monsoon,Exam Season,Jaipur,Families,"Rice, Fruits, Eggs",883.92,199.48,9,4
2023-03-15,Makar Sankranti,Summer,Wedding Season,Jaipur,Families,"Rice, Milk, Eggs",350.96,76.73,5,7
2023-02-02,None,Winter,Salary Day,Chennai,Low Income,"Bread, Rice, Fruits",1942.91,444.9,4,9
2024-01-11,Navratri,Monsoon,Exam Season,Bangalore,Low Income,"Vegetables, Sugar, Bread",490.28,87.59,8,4
2023-03-10,Navratri,Summer,Exam Season,Patna,Retail Bulk,"Eggs, Milk, Oil",1951.36,448.91,10,7
2023-02-23,Holi,Monsoon,Salary Day,Patna,Retail Bulk,"Sugar, Rice, Milk, Colors",1108.94,121.86,9,7
2024-10-16,Raksha Bandhan,Summer,Weekend,Bangalore,Retail Bulk,"Sweets, Sugar, Oil, Rakhi, Vegetables",1427.65,293.49,8,9
2023-04-28,Makar Sankranti,Summer,Exam Season,Patna,Families,"Milk, Fruits, Eggs",1856.15,309.21,5,6
2024-03-11,None,Monsoon,Exam Season,Delhi,Middle Class,"Sugar, Fruits, Atta",740.79,118.26,4,8
2024-08-04,Navratri,Winter,Wedding Season,Kolkata,Students,"Vegetables, Eggs, Oil",443.72,48.53,8,8
2024-04-29,None,Summer,Normal Day,Delhi,Retail Bulk,"Vegetables, Milk, Eggs",1474.11,349.99,4,6
2024-05-10,Raksha Bandhan,Winter,Salary Day,Kolkata,Upper Middle,"Sweets, Fruits, Rakhi, Bread, Eggs",772.25,51.93,5,2
2023-06-11,Onam,Winter,Wedding Season,Mumbai,Middle Class,"Sugar, Eggs, Atta",52.04,11.59,6,5
2023-03-11,Eid,Winter,Exam Season,Kolkata,Families,"Sugar, Dates, Eggs, Atta",599.18,129.25,10,3
2024-09-09,Christmas,Summer,Wedding Season,Mumbai,Families,"Sugar, Cake, Fruits, Oil, Chocolates",863.34,208.38,8,4
2023-11-01,Makar Sankranti,Summer,School Opening,Delhi,Upper Middle,"Vegetables, Sugar, Oil",1696.13,161.72,8,4
2024-11-19,Diwali,Summer,Exam Season,Jaipur,Upper Middle,"Oil, Rice, Atta",798.37,107.96,4,9
2024-07-05,Independence Day,Summer,Normal Day,Lucknow,Students,"Sugar, Atta, Bread, Hand bands, Flags",1641.36,279.09,8,5
2024-11-03,Eid,Monsoon,Normal Day,Jaipur,Upper Middle,"Oil, Dates, Fruits, Atta",846.06,105.33,9,6
2024-09-18,Navratri,Monsoon,Weekend,Lucknow,Upper Middle,"Bread, Rice, Milk",1598.29,248.16,5,4
2024-12-26,Eid,Monsoon,Weekend,Lucknow,Upper Middle,"Sugar, Atta, Dates, Oil",1249.24,187.61,5,2
2024-03-20,Diwali,Winter,Salary Day,Chennai,Students,"Milk, Fruits, Oil",1799.26,161.05,4,9
2023-06-17,Makar Sankranti,Summer,Salary Day,Kolkata,Low Income,"Fruits, Eggs, Oil",578.63,122.07,4,2
2023-07-25,Raksha Bandhan,Summer,Salary Day,Chennai,Low Income,"Sweets, Sugar, Rakhi, Bread, Rice",936.23,163.13,10,9
2024-03-18,Raksha Bandhan,Winter,Wedding Season,Kolkata,Students,"Sweets, Sugar, Fruits, Rakhi, Vegetables",1737.37,275.85,10,7
2024-06-26,Republic Day,Summer,Salary Day,Lucknow,Retail Bulk,"Vegetables, Sugar, Rice",1519.0,106.21,8,3
2023-12-29,Raksha Bandhan,Summer,School Opening,Patna,Middle Class,"Sweets, Milk, Atta, Rakhi, Vegetables",176.37,38.43,5,3
2024-07-11,Makar Sankranti,Winter,Wedding Season,Kolkata,Middle Class,"Vegetables, Fruits, Milk",1876.68,145.82,7,6
2023-07-19,Diwali,Summer,Exam Season,Jaipur,Low Income,"Bread, Eggs, Oil",1180.71,93.31,4,5
2023-08-11,Christmas,Winter,Wedding Season,Mumbai,Retail Bulk,"Cake, Milk, Fruits, Atta, Chocolates",734.6,95.79,6,8
2024-03-25,Raksha Bandhan,Winter,Salary Day,Chennai,Families,"Sweets, Fruits, Atta, Oil, Rakhi",975.89,189.77,7,4
2024-12-25,Independence Day,Monsoon,Normal Day,Bangalore,Retail Bulk,"Sugar, Oil, Bread, Hand bands, Flags",1815.14,258.54,10,2
2023-02-25,None,Winter,School Opening,Chennai,Families,"Sugar, Rice, Milk",1468.04,259.8,8,7
2024-03-24,None,Monsoon,Exam Season,Patna,Upper Middle,"Bread, Rice, Atta",489.61,26.44,5,7
2024-08-10,Independence Day,Monsoon,School Opening,Delhi,Retail Bulk,"Atta, Hand bands, Flags, Rice, Vegetables",885.2,172.18,9,4
2024-05-12,Holi,Summer,Normal Day,Patna,Retail Bulk,"Sugar, Colors, Eggs, Oil",1284.01,215.36,7,3
2024-09-13,Republic Day,Winter,Weekend,Bangalore,Low Income,"Rice, Eggs, Oil",1620.6,338.76,9,9
2024-02-10,Onam,Winter,School Opening,Bangalore,Upper Middle,"Vegetables, Rice, Atta",815.62,118.96,7,6
2023-06-08,Independence Day,Summer,Normal Day,Bangalore,Students,"Milk, Oil, Hand bands, Flags, Eggs",607.59,150.72,6,9
2024-01-21,Eid,Winter,Weekend,Lucknow,Retail Bulk,"Milk, Dates, Fruits, Oil",81.06,8.03,6,8
2024-01-18,Onam,Summer,Wedding Season,Bangalore,Students,"Sugar, Fruits, Oil",1938.94,467.74,5,6
2023-07-24,Diwali,Winter,Exam Season,Kolkata,Low Income,"Vegetables, Milk, Oil",1792.77,278.55,6,2
2024-10-16,Diwali,Summer,Weekend,Delhi,Students,"Vegetables, Sugar, Rice",791.09,193.14,9,3
